signal,run_date,days,net_pnl_total,gross_pnl_total,net_pnl_oos,gross_pnl_oos,last_trade_date
online_tag7k_entry14,2026-05-23,60,7.5719759999999905,73.80199999999999,17.267015999999995,47.562,2026-05-22
tte1_conf82_entry07,2026-05-23,82,24.162485999999987,121.83387500000002,38.176083999999996,111.04175000000001,2026-05-23
new_user_big4k_entry45,2026-05-23,82,17.10599999999999,54.0555,17.040031999999993,33.7015,2026-05-22
